folioviv,foliohog,numren,id_trabajo,tipoact,cose_cria,prep_deriv,otro_pago,fpago_1,fpago_2,fpago_3,fpago_4,fpago_5,fpago_6,fpago_7,fpago_8,nofpago,t_emp,h_emp,m_emp,t_cpago,h_cpago,m_cpago,t_ispago,h_ispago,m_ispago,t_nispago,h_nispago,m_nispago,valrema,valproc,apoyo,apoyo_1,apoyo_2,apoyo_3,apoyo_4,apoyo_5,apoyo_6,apoyo_7,apoyo_8,proagro,mesproc,progan,mesprogan,nvo_apoyo,nvo_prog1,nvo_act1,nvo_cant1,nvo_prog2,nvo_act2,nvo_cant2,nvo_prog3,nvo_act3,nvo_cant3,reg_not,reg_cont,ventas,autocons,otrosnom,gasneg,ventas_tri,auto_tri,otros_tri,gasto_tri,ing_tri,ero_tri
0160317923,1,01,1,4,1,,2,,,,,,,,,2,0, , , , , , , , , , , ,3000,8000,2, , , , , , , , ,8000,03, ,,1,2011,4,300, , , , , , ,2,4,0,0,0,7350,0,0,0,1797.55,0,1796.08
0160318022,1,01,1,4,1,,2,,,,,,,,,1,0, , , , , , , , , , , ,5000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,10750,0,10340,0,2629.07,0,2528.8,99.78,0
0160318022,1,01,1,5,1,2,2,,,,,,,,,1,0, , , , , , , , , , , ,18300,8400,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,8400,0,0,1755,2054.34,0,0,429.21,1622.93,0
0160318813,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,10000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,1750,0,9900,0,430.32,0,2434.42,0,2003.6
0160318813,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , , , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,24000,0,0,13300,5901.63,0,0,3270.49,2629.18,0
0160319305,1,01,1,4,1,,2,,,,,,,,,6,1,1,0,0, , ,1,1,0,0, , , , ,2, , , , , , , , ,6700,04, ,,2, , , , , , , , , ,2,4,45360,2520,0,29850,11093.47,616.3,0,7300.27,4408.04,0
0160320206,1,01,1,4,1,,2,,,,,,,,,6,2,2,0,0, , ,0, , ,2,2,0, ,25000,2, , , , , , , , ,10000,04, ,,2, , , , , , , , , ,2,4,0,0,0,4000,0,0,0,989.01,0,988.02
0160320206,1,01,1,5,1,2,2,,,,,,,,,6,2,2,0,0, , ,0, , ,2,2,0, , ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,4000,0,0,0,989.01,0,988.02
0160320410,1,01,2,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,16400,2, , , , , , , , ,13500,04, ,,2, , , , , , , , , ,2,4,59710,1350,0,82940,14602.98,330.16,0,20284.23,0,5350.1
0160321303,1,02,1,5,1,2,2,,,,,,,,,1,0, , , , , , , , , , , ,15600, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,45900,0,0,17000,11225.54,0,0,4157.6,7066.95,0
0160321306,1,02,1,4,1,,2,,,,,,,,,6,2,2,0,2,2,0,0, , ,0, , , ,6000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,342000,0,0,186080,83641.3,0,0,45508.69,38131.63,0
0160321507,1,01,1,4,1,,2,,,,,,,,,7,5,2,3,5,2,3,0, , ,0, , ,16000,16000,2, , , , , , , , ,10000,03, ,,2, , , , , , , , , ,2,4,0,0,0,14862,0,0,0,3634.72,0,3633.26
0160321507,1,01,1,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,1450,27000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,81150,1350,0,36240,19846.46,330.16,0,8863.04,11313.58,0
0160322201,1,03,2,5,1,2,2,,,,,,,,,2,2,2,0,0, , ,0, , ,2,2,0,6000,2000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,5550,0,0,0,1372.25,0,1370.76
0160322206,1,01,2,4,1,,2,,,,,,,,,2,3,2,1,0, , ,3,2,1,0, , , ,3200,2, , , , , , , , ,3000,03, ,,1,2011,4,3000, , , , , , ,2,4,0,0,0,3200,0,0,0,791.2,0,789.23
0160322206,1,01,2,5,1,1,2,,,,,,,,,2,0, , , , , , , , , , , ,20000, ,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0160322407,1,01,2,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,2000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,7900,0,0,0,1932.06,0,1931.08
0160322407,1,01,2,5,1,1,2,,,,,,,,,6,0, , , , , , , , , , , ,141000,18000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,9400,0,0,0,2298.91,0,2297.93
0160322409,1,03,1,4,1,,2,,,,,,,,,6,3,2,1,1,1,0,2,1,1,0, , , ,15000,2, , , , , , , , ,4500,04, ,,1,2013,4,2000, , , , , , ,2,4,0,0,0,77200,0,0,0,18880.43,0,18879.45
0160322409,1,03,1,5,1,1,2,,,,,,,,,6,3,2,1,1,1,0,2,1,1,0, , ,405800,121400,2, , , , , , , , ,4500,04, ,,1,2014,5,8500, , , , , , ,2,4,547400,8835,0,149655,133874.99,2160.73,0,36600.4,99433.36,0
0160323511,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,186000,2, , , , , , , , ,22000,03, ,,2, , , , , , , , , ,2,4,0,0,0,45100,0,0,0,11029.89,0,11028.91
0160324201,1,01,1,4,1,,2,,,,,,,,,6,0, , , , , , , , , , , , ,6300,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,6300,0,0,0,1557.69,0,1557.69
0160324409,1,01,2,4,1,,1,,,,,,,,,,2,2,0,2,2,0,0, , ,0, , , ,15000,2, , , , , , , , ,6000,03, ,,1,2011,4,12225, , , , , , ,2,4,0,0,0,23660,0,0,0,5786.41,0,5784.45
0160324409,1,01,2,5,1,2,2,,,,,,,,,2,2,2,0,2,2,0,0, , ,0, , ,15000,17000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,24400,0,0,19430,5967.39,0,0,4751.9,1214.99,0
0160325608,1,01,1,4,1,,2,,,,,,,,,2,0, , , , , , , , , , , , ,150000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,207760,160,0,49400,51088.52,39.34,0,12147.54,38980.32,0
0160327816,1,01,1,4,1,,2,,,,,,,,,6,1,1,0,1,1,0,0, , ,0, , , , ,2, , , , , , , , ,50000,02, ,,2, , , , , , , , , ,2,4,0,0,0,0,0,0,0,0,0,0
0160327816,1,01,1,5,1,2,2,,,,,,,,,6,0, , , , , , , , , , , ,179750,39000,2, , , , , , , , , ,, ,,2, , , , , , , , , ,2,4,0,0,0,1500,0,0,0,368.85,0,368.85
