folioviv,foliohog,numren,id_trabajo,tipoact,clave,gasto
0160349019,1,01,1,4,B10,4000
0160349019,1,01,1,5,C09,400
0160349019,1,01,1,5,C08,63492
0160349019,1,01,1,4,B00,18000
0160349019,1,01,1,5,C00,69092
0160349019,1,01,1,5,C06,5200
0160349306,1,01,2,5,C09,1000
0160349306,1,01,2,5,C10,250
0160349306,1,01,2,5,C08,14800
0160349306,1,01,2,5,C00,16350
0160349306,1,01,2,4,B11,9000
0160349306,1,01,2,4,B07,22000
0160349306,1,01,2,4,B06,6000
0160349306,1,01,2,5,C19,300
0160349306,1,01,2,4,B00,37000
0160349510,1,01,2,5,C04,12000
0160349510,1,01,2,5,C06,1000
0160349510,1,01,2,5,C07,8000
0160349510,1,01,2,5,C08,9600
0160349510,1,01,2,5,C00,31100
0160349510,1,01,2,5,C10,500
0160349512,1,01,1,4,B07,1200
0160349512,1,01,1,4,B10,2100
0160349512,1,01,1,4,B02,2100
0160349512,1,01,1,4,B00,5400
0160349716,1,01,1,4,B07,5000
0160349716,1,01,1,4,B10,15000
0160349716,1,01,1,5,C00,502000
0160349716,1,01,1,4,B00,50000
0160349716,1,01,1,4,B05,10000
0160349716,1,01,1,4,B06,20000
0160349716,1,01,1,5,C06,50000
0160349716,1,01,1,5,C10,2000
0160349716,1,01,1,5,C19,15000
0160349716,1,01,1,5,C09,5000
0160349716,1,01,1,5,C08,430000
0160349718,1,02,1,5,C08,26500
0160349718,1,02,1,5,C00,26500
0160349718,1,02,1,4,B02,8000
0160349718,1,02,1,4,B00,11200
0160349718,1,02,1,4,B07,3200
0160351302,1,01,1,5,C00,65450
0160351302,1,01,1,5,C08,56000
0160351302,1,01,1,5,C06,8400
0160351302,1,01,1,5,C19,1050
0200377301,1,01,1,4,B10,1500
0200377301,1,01,1,4,B11,800
0200377301,1,01,1,4,B21,1500
0200377301,1,01,1,4,B00,6800
0200377301,1,01,1,4,B06,2000
0200377301,1,01,1,4,B09,1000
0200443822,1,02,2,5,C00,4000
0200443822,1,02,2,5,C08,4000
0200444716,1,01,1,5,C00,4800
0200444716,1,01,1,5,C08,4800
0260694304,1,02,1,4,B07,17000
0260694304,1,02,1,4,B08,35000
0260694304,1,02,1,4,B09,20000
0260694304,1,02,1,4,B10,10000
0260694304,1,02,1,4,B00,87500
0260694304,1,02,1,5,C00,35000
0260694304,1,02,1,5,C09,25000
0260694304,1,02,1,5,C10,10000
0260694304,1,02,1,4,B06,1000
0260694304,1,02,1,4,B15,4500
0260702305,1,01,1,4,B09,2400
0260702305,1,01,1,4,B10,1200
0260702305,1,01,1,4,B11,3000
0260702305,1,01,1,4,B00,6600
0260711305,1,01,1,5,C07,18000
0260711305,1,01,1,5,C10,2500
0260711305,1,01,1,5,C00,178100
0260711305,1,01,1,5,C08,98000
0260711305,1,01,1,5,C13,57600
0260711305,1,01,1,5,C09,2000
0260715301,1,01,1,5,C08,55750
0260715301,1,01,1,5,C00,55750
0260715302,1,01,2,5,C06,96000
0260715302,1,01,2,5,C10,13900
0260715302,1,01,2,5,C08,480000
0260715302,1,01,2,5,C00,589900
0260719713,1,01,1,4,B19,20000
